id,title_original,english_title,hungarian_title,video_url,source_equipment_types,inferred_equipment_types,canonical_equipment_types,primary_pattern,secondary_pattern,body_region,impact_level,complexity_level,intensity_estimate,position_type,unilateral_flag,beginner_friendly,session_role_fit,contraindications,home_safe,requires_large_space,requires_partner,requires_gym_setup,advanced_risk,qa_flags,validation_errors,taxonomy_status
72,TRX single leg sprinter start - TRX egylábas sprinter start,TRX single leg sprinter start,TRX egylábas sprinter start,https://vimeo.com/649968958,trx,trx,trx,cardio_locomotion,,full_body,high,moderate,high,standing,yes,no,accessory|finisher|main,knee_caution,no,yes,no,no,no,equipment_inferred:trx|excluded_from_home_safe_pool,,validated
73,TRX single leg side plank - TRX oldalsó alkartámasz egy lábbal,TRX single leg side plank,TRX oldalsó alkartámasz egy lábbal,https://vimeo.com/649968925,trx,trx,trx,core,,core,low,moderate,low,floor,yes,conditional,accessory|activation,wrist_shoulder_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
74,TRX single leg plank - TRX alkartámaszban tartás egy lábbal,TRX single leg plank,TRX alkartámaszban tartás egy lábbal,https://vimeo.com/649968879,trx,trx,trx,core,,core,low,moderate,low,floor,yes,conditional,accessory|activation,wrist_shoulder_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
75,TRX single leg hips lifted hamstrig curl - TRX egylábas sarokbehúzás nyújtott csípővel,TRX single leg hips lifted hamstrig curl,TRX egylábas sarokbehúzás nyújtott csípővel,https://vimeo.com/649968841,trx,trx,trx,pull,,upper_body,low,moderate,medium,standing,yes,conditional,accessory|main,,yes,no,no,no,no,equipment_inferred:trx,,validated
76,TRX single leg hip thrust - TRX egylábas csípőemelés,TRX single leg hip thrust,TRX egylábas csípőemelés,https://vimeo.com/649968802,trx,trx,trx,hinge,,lower_body,low,moderate,low,standing,yes,conditional,accessory|main,lower_back_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
77,TRX single leg deadlift with SMR - TRX egylábas felhúzás SMR-rel,TRX single leg deadlift with SMR,TRX egylábas felhúzás SMR-rel,https://vimeo.com/649968784,trx,trx,trx,hinge,,lower_body,low,moderate,medium,standing,yes,conditional,accessory|main,lower_back_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
78,TRX single leg high plank - TRX fekvőtámaszban tartás egy lábbal,TRX single leg high plank,TRX fekvőtámaszban tartás egy lábbal,https://vimeo.com/649968758,trx,trx,trx,core,,core,low,moderate,low,floor,yes,conditional,accessory|activation,wrist_shoulder_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
79,TRX single leg deadlift - TRX egylábas felhúzás,TRX single leg deadlift,TRX egylábas felhúzás,https://vimeo.com/649968676,trx,trx,trx,hinge,,lower_body,low,moderate,medium,standing,yes,conditional,accessory|main,lower_back_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
80,TRX single arm low row - TRX egykezes szűk evezés,TRX single arm low row,TRX egykezes szűk evezés,https://vimeo.com/649968640,trx,trx,trx,pull,,upper_body,low,moderate,medium,standing,yes,conditional,accessory|main,,yes,no,no,no,no,equipment_inferred:trx,,validated
81,TRX single arm high row - TRX egykezes magas evezés,TRX single arm high row,TRX egykezes magas evezés,https://vimeo.com/649968611,trx,trx,trx,pull,,upper_body,low,moderate,medium,standing,yes,conditional,accessory|main,,yes,no,no,no,no,equipment_inferred:trx,,validated
82,TRX single arm curl - TRX karhajlítás egy kézzel,TRX single arm curl,TRX karhajlítás egy kézzel,https://vimeo.com/649968579,trx,trx,trx,pull,,upper_body,low,moderate,medium,standing,yes,conditional,accessory|main,,yes,no,no,no,no,equipment_inferred:trx,,validated
83,TRX side plank with rotation - TRX oldalsó alkartámaszban tartás törzsfordítással,TRX side plank with rotation,TRX oldalsó alkartámaszban tartás törzsfordítással,https://vimeo.com/649968547,trx,trx,trx,core,,core,low,moderate,low,floor,no,conditional,accessory|activation|warmup,wrist_shoulder_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
